ФИО,Должность,Подразделение,Зарплата
Савельев Агафон Ильич,middle,ibpti,28645
Носова Кирилл Федосьевич,middle,tsapd,45926
Селезнева Федосий Антонович,middle,hezag,24209
Горбунова Валентин Георгиевич,senior,gsjnz,27758
Беспалова Фома Фомич,senior,bugtg,22151
Гаврилова Платон Семеновна,junior,yzpsl,35784
Шашкова Анна Ефимьевич,senior,vhdmw,48715
Романова Аркадий Богдановна,senior,tafzh,23900
Воронова Ким Ниловна,middle,gvcbd,44447
Комиссаров Лука Власович,middle,stebr,21704
Жукова Поликарп Федотович,middle,nydyj,29946
Титов Демид Евсеевич,junior,xlzhr,24326
Назаров Эраст Ильясович,middle,oxtwy,49882
Шарова Артемий Дмитриевич,junior,xvtwf,26910
Шарапов Андрей Никифоровна,senior,ugvah,20996
Поляков Карп Ярославович,middle,awhbx,33563
Медведев Евграф Ерофеевич,middle,aspmz,29873
Кудряшов Агафья Феликсович,junior,yqqav,16779
Гаврилова Мир Макаровна,middle,khwbp,30492
Тимофеева Вера Юльевна,junior,qcvbh,36021
Анисимов Варвара Иосифович,middle,gfhxk,15150
Королев Святослав Демидович,junior,iqvet,33213
Захаров Ладислав Болеславовна,middle,huwsd,35584
Устинов Маргарита Михайловна,senior,jaugq,34330
Кулакова Иосиф Богданович,senior,pyqzd,26814
Зуева Авксентий Якубович,senior,gyygz,25928
Маркова Игнатий Игоревна,junior,mezha,48513
Карпова Валерий Даниилович,middle,rcjwp,30525
Кириллов Емельян Юрьевна,middle,bejzt,43743
Воробьева Агафья Богданович,junior,sxgnb,17285
Дорофеева Евграф Якубович,senior,yxltx,27606
Белозерова Иларион Феодосьевич,senior,wszex,19132
Рыбаков Владилен Евгеньевна,middle,aqtey,46350
Евсеева Валентин Ефимовна,junior,rnlbz,49009
Стрелков Софрон Фролович,middle,cvtsu,24245
Зыкова Нонна Марсович,senior,ykqic,17680
Колобова Алексей Ивановна,junior,wyuxe,19352
Самсонов Ипат Архиповна,senior,bibti,18210
Ковалева Ираклий Геннадиевна,middle,qshee,43542
Артемьев Мариан Владимировна,senior,dsfri,39015
Белоусов Еремей Рудольфовна,junior,inlpn,42122
Некрасов Валентина Аксёнович,middle,svnme,19813
Панов Глеб Витальевич,senior,sgzsh,28434
Титов Макар Еремеевич,senior,wstmq,27039
Кудряшова Эммануил Елисеевич,junior,osstk,19275
Быкова Лора Наумовна,senior,vdoyh,44226
Дорофеева Вышеслав Всеволодович,senior,scndp,18071
Елисеев Зоя Владиславович,middle,hrzcr,15430
Овчинникова Наина Тимуровна,junior,ndyaj,18553
Шубина Евдокия Димитриевич,junior,dvviu,48747
Антонова Конон Арсеньевич,senior,jxtzm,45581
Борисова Любомир Тарасович,junior,nldxt,35267
Красильникова Адриан Бенедиктович,junior,owmrf,26138
Исакова Харлампий Тимурович,junior,wnwyf,47527
Исаков Болеслав Феликсович,middle,pjmcq,18112
Носов Добромысл Олеговна,senior,nmmmb,35774
Устинов Поликарп Матвеевна,junior,diehy,17133
Вишнякова Авдей Гертрудович,junior,sjjax,23217
Носов Ефрем Александровна,middle,rngzo,40998
Титов Савватий Елисеевич,senior,nykzm,47129
Русаков Панкрат Игнатович,middle,fjtbz,31728
Некрасов Валерий Ждановна,senior,brncd,49017
Суханов Александра Игоревич,middle,nmtlx,20983
Рыбакова Амос Феоктистович,junior,qcdvz,28268
Полякова Фома Евстигнеевич,senior,wrsrc,36709
Мамонтов Аверьян Гаврилович,junior,mvjug,17122
Степанов Аполлон Алексеевич,middle,bdxmd,26132
Дмитриева Фаина Денисович,middle,aieuh,38774
Воробьева Маргарита Матвеевич,junior,xgrcc,38888
Фролова Наркис Зиновьевич,middle,djcue,25441
Белякова Конон Артемовна,senior,oidhe,38571
Самойлов Владилен Степановна,senior,vkjst,46594
Белозерова Денис Арсенович,junior,vbxlz,41004
Егоров Аггей Фокич,senior,kofkj,45090
Калашникова Мирослав Егоровна,junior,ltzgm,21505
Фомичев Софрон Гурьевич,middle,adobr,46033
Захаров Остап Ильясович,junior,ymfqs,20182
Туров Изяслав Павловна,junior,ycsfm,41390
Захаров Автоном Ефстафьевич,senior,veswd,21980
Киселева Вячеслав Робертовна,junior,jqiho,34953
